;time;be_de;be_fr;de_fr
5115;20200801_0300;442.3;83.0;78.5
5116;20200801_0400;445.8;118.2;112.2
5117;20200801_0500;397.7;143.5;134.8
5118;20200801_0600;400.4;127.9;119.9
5119;20200801_0700;254.1;210.6;199.8
5120;20200801_0800;305.7;493.0;493.0
5121;20200801_0900;264.9;433.3;433.3
5122;20200801_1000;316.7;419.2;419.2
5123;20200801_1100;444.5;394.4;394.4
5124;20200801_1200;457.1;289.9;289.9
5125;20200801_1300;745.2;281.8;252.4
5126;20200801_1400;781.0;216.9;189.4
5127;20200801_1500;818.8;37.8;21.1
5128;20200801_1600;756.0;115.7;54.8
5129;20200801_1700;737.6;98.5;78.5
5130;20200801_1800;731.9;173.3;151.8
5131;20200801_1900;518.4;146.9;146.9
5132;20200801_2000;527.6;170.0;170.0
5133;20200801_2100;596.7;71.5;71.5
5134;20200801_2200;602.3;113.1;113.1
5135;20200801_2300;880.9;223.1;173.2
5136;20200802_0000;377.3;0.0;0.0
5137;20200802_0100;321.1;0.0;0.0
5138;20200802_0200;660.7;0.0;0.0
5139;20200802_0300;562.9;0.0;0.0
5140;20200802_0400;541.4;0.0;0.0
5141;20200802_0500;737.8;0.0;0.0
5142;20200802_0600;553.9;0.0;0.0
5143;20200802_0700;577.2;0.0;0.0
5144;20200802_0800;597.9;0.0;0.0
5145;20200802_0900;623.8;0.0;0.0
5146;20200802_1000;524.1;22.7;14.2
5147;20200802_1100;399.5;38.6;38.6
5148;20200802_1200;703.8;103.2;74.6
5149;20200802_1300;524.6;141.7;110.2
5150;20200802_1400;768.7;98.6;77.8
5151;20200802_1500;944.3;267.0;137.0
5152;20200802_1600;878.2;234.0;126.2
5153;20200802_1700;1168.3;66.9;20.7
5154;20200802_1800;1036.2;153.2;54.6
5155;20200802_1900;951.9;313.8;157.2
5156;20200802_2000;861.2;385.9;248.2
5157;20200802_2100;975.4;476.5;169.4
5158;20200802_2200;451.3;183.0;183.0
5159;20200802_2300;333.8;152.6;152.6
5160;20200803_0000;286.2;187.1;290.2
5161;20200803_0100;719.8;503.6;405.3
5162;20200803_0200;478.3;462.5;462.5
5163;20200803_0300;580.5;511.2;488.8
5164;20200803_0400;603.8;507.1;492.9
5165;20200803_0500;415.8;471.0;471.0
5166;20200803_0600;374.0;436.9;436.9
5167;20200803_0700;327.6;474.2;474.2
5168;20200803_0800;372.6;486.8;486.8
5169;20200803_0900;807.1;557.2;276.2
5170;20200803_1000;578.6;441.1;415.8
5171;20200803_1100;572.6;435.3;418.5
5172;20200803_1200;694.7;393.0;349.7
5173;20200803_1300;748.7;293.4;257.8
5174;20200803_1400;750.0;192.8;174.6
5175;20200803_1500;722.7;99.2;83.5
5176;20200803_1600;579.2;224.5;204.4
5177;20200803_1700;592.0;225.5;216.0
5178;20200803_1800;640.5;229.7;216.5
5179;20200803_1900;671.7;230.9;205.2
5180;20200803_2000;674.6;316.2;281.6
5181;20200803_2100;730.8;418.6;352.7
5182;20200803_2200;812.9;410.1;296.5
5183;20200803_2300;777.2;499.0;380.5
5184;20200804_0000;703.3;544.2;432.7
5185;20200804_0100;520.5;483.9;483.9
5186;20200804_0200;444.2;500.3;499.7
5187;20200804_0300;400.4;502.3;497.7
5188;20200804_0400;389.2;502.9;497.1
5189;20200804_0500;335.4;500.0;500.0
5190;20200804_0600;269.5;434.0;448.6
5191;20200804_0700;250.8;408.2;432.4
5192;20200804_0800;237.2;352.5;352.5
5193;20200804_0900;174.7;290.8;382.9
5194;20200804_1000;150.8;251.6;370.3
5195;20200804_1100;176.7;295.5;369.6
5196;20200804_1200;274.5;288.5;288.5
5197;20200804_1300;351.2;256.3;256.3
5198;20200804_1400;425.4;319.2;319.2
5199;20200804_1500;646.9;287.3;227.3
5200;20200804_1600;685.9;265.6;188.6
5201;20200804_1700;730.9;275.2;134.2
5202;20200804_1800;717.3;387.8;172.0
5203;20200804_1900;841.9;271.1;80.2
5204;20200804_2000;862.1;363.1;211.7
5205;20200804_2100;383.5;144.3;145.9
5206;20200804_2200;414.2;293.3;306.9
5207;20200804_2300;423.8;285.2;440.8
5208;20200805_0000;312.3;454.5;454.5
5209;20200805_0100;276.6;442.4;442.4
5210;20200805_0200;289.9;465.2;498.6
5211;20200805_0300;298.2;406.1;377.0
5212;20200805_0400;235.4;129.6;152.5
5213;20200805_0500;199.3;177.9;181.6
5214;20200805_0600;214.3;178.2;165.8
5215;20200805_0700;260.1;378.0;416.7
5216;20200805_0800;246.7;362.9;372.4
5217;20200805_0900;125.5;208.1;523.8
